TEXT	ACTUAL-CLASS	PREDICTED-CLASS	FeatureVector
ARTSTYLE ALWAYS WITH THE BEST PLAYS Kreygasm	POSITIVE	NEUTRAL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 15=1.0, 16=1.0, 18=1.1137837882447443, 19=2.0, 20=0.5815897049357109, 22=1.0, 23=4.0, 25=2.68986898689869, 26=5.0, 27=0.5786578657865787, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 50=2.0, 53=1.4, 54=2.0, 55=0.7, 83=0.7827619586917652, 91=0.6223212321824086, 664=1.0}	
hot boy Kreygasm	POSITIVE	NEUTRAL	{15=2.0, 18=1.244832386097922, 19=2.0, 20=0.6299729859097587, 23=2.0, 25=0.9975997599759976, 26=2.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 91=0.5856081139058955, 151=0.8105943109395597, 664=1.0}	
@AdmiralBulldog, JEALOUS DansGame	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 17=1.0, 18=0.15401332548402538, 19=1.0, 21=0.15401332548402538, 24=1.0, 25=0.4250425042504251, 26=1.0, 28=0.4250425042504251, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.2, 54=1.0, 56=0.2, 97=0.5071302429886393, 515=0.8618694313214059, 664=1.0}	
7KNGBAD	NEGATIVE	NEUTRAL	{16=1.0, 18=0.5144231033742855, 19=1.0, 23=1.0, 25=0.468946894689469, 26=1.0}	
@Reggaza12, hell no, u stupid?	NEGATIVE	NEUTRAL	{3=3.0, 4=0.8, 5=3.0, 7=0.1, 17=3.0, 18=0.7064652255483971, 19=3.0, 21=0.17738519011647425, 22=1.0, 23=1.0, 24=2.0, 25=1.7902790279027905, 26=4.0, 27=0.5675567556755676, 28=0.3432343234323432, 31=2.0, 33=2.0, 35=0.0, 38=2.0, 40=2.0, 42=0.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3, 174=1.0}	
get the hell ouddddddddddddddddddddddddddd	NEGATIVE	NEUTRAL	{3=1.0, 4=0.1, 5=1.0, 7=0.1, 15=1.0, 17=1.0, 18=0.8417502489587747, 19=2.0, 20=0.6643650588423005, 21=0.17738519011647425, 23=3.0, 25=1.4526452645264527, 26=3.0, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
SPANKED Kreygasm	POSITIVE	NEUTRAL	{23=1.0, 25=0.48264826482648265, 26=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 91=1.0, 664=1.0}	
slacks with that stupid face	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 16=1.0, 17=1.0, 18=1.4332212789603704, 19=3.0, 20=0.7014915519072168, 21=0.21730662367886797, 23=4.0, 24=1.0, 25=2.3755375537553753, 26=5.0, 28=0.3432343234323432, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 111=0.5184721133475068, 174=0.8550945372770019}	
Dear virgins, sheever doesn't want your tiny peepee near her TheThing	NEGATIVE	NEUTRAL	{1=2.0, 4=1.2999999999999998, 5=2.0, 6=0.7, 15=2.0, 16=2.0, 18=2.394504750848661, 19=4.0, 20=0.6998685057521857, 22=1.0, 23=5.0, 24=3.0, 25=4.12001200120012, 26=9.0, 27=0.5804580458045805, 28=0.31033103310331034, 36=2.0, 38=1.0, 39=2.0, 40=3.0, 41=1.0, 42=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 57=1.0, 664=1.0}	
Look At Me Sheever Kreygasm	POSITIVE	NEUTRAL	{15=1.0, 16=2.0, 18=1.673971291339536, 19=3.0, 20=0.645125084590965, 22=1.0, 23=2.0, 25=1.5150515051505151, 26=3.0, 27=0.550955095509551, 37=1.0, 39=0.5, 40=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 57=0.4540973347219849, 91=0.47980795707301493, 335=0.7507196113915032, 664=1.0}	
Sheever is ugly WutFace	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 17=1.0, 18=0.16639799292461915, 19=1.0, 21=0.16639799292461915, 23=1.0, 24=1.0, 25=0.8984898489848985, 26=2.0, 28=0.41004100410041006, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 57=0.6633759756685829, 88=0.7482862519823251, 664=1.0}	
danSgame I'M THE REAL DansGame danSgame	NEGATIVE	NEUTRAL	{15=1.0, 18=0.8019223468697216, 19=1.0, 20=0.8019223468697216, 23=3.0, 25=1.5019501950195018, 26=3.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 45=3.0, 47=3.0, 49=0.0, 97=0.7804294993381384, 128=0.44211412359413627, 568=0.44211412359413627, 664=3.0}	
WTF WITH SLAKSES FACE	NEGATIVE	NEUTRAL	{15=1.0, 18=0.7014915519072168, 19=1.0, 20=0.7014915519072168, 23=4.0, 24=1.0, 25=2.4173417341734176, 26=5.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0, 79=1.0}	
