recall	0,7687				
recall StdDev	0,0140457406				
macro-avg. recall	0,7278				
macro-avg. recall StdDev	0,0168522995				
macro-avg. Pos/Neg recall	0,6725				
macro-avg. Pos/Neg recall StdDev	0,0246336798				
precision	0,7687				
precision StdDev	0,0140457406				
macro-avg. precision	0,7505				
macro-avg. precision StdDev	0,0168400077				
macro-avg. Pos/Neg precision	0,7234				
macro-avg. Pos/Neg precision StdDev	0,0250744346				
positiveRecall	0,7385600852				
positiveRecall StdDev	0,0369377095				
positivePrecision	0,6889382472				
positivePrecision StdDev	0,0344190433				
positive fmeasure	0,7121195812				
positive fmeasure StdDev	0,0269324536				
neutralRecall	0,8396851669				
neutralRecall StdDev	0,0174400426				
neutralPrecision	0,8050856426				
neutralPrecision StdDev	0,019314939				
neutral fmeasure	0,8218050064				
neutral fmeasure StdDev	0,0127151447				
negativeRecall	0,6069604815				
negativeRecall StdDev	0,0371443475				
negativePrecision	0,7578617122				
negativePrecision StdDev	0,0403499296				
negative fmeasure	0,6730452614				
negative fmeasure StdDev	0,0286167399		0,7687	0,7356	0,6952
micro f-Measure	0,7687		0,0140457406	0,0159747275	0,0195649656
micro f-Measure StdDev	0,0140457406				
micro pos/neg f-Measure	0,695				
micro pos/neg f-Measure StdDev	0,0203752672				
macro f-Measure	0,7356				
macro f-Measure StdDev	0,0159747275				
macro pos/neg f-Measure	0,6952				
macro pos/neg f-Measure StdDev	0,0195649656				
other pos/neg f-Measure	0,692				
other pos/neg f-Measure StdDev	0,0198987335				
accuracy	0,7684931957				
accuracy StdDev	0,0137981146				
average accuracy	0,8454				
average accuracy StdDev	0,0098903075				
error rate	0,5925				
error rate StdDev	0,0072995088				
cpu-time (for complete test-set)	201,71496049				
cpu-time (for complete test-set) StdDev	9,192340568				
training-size	2442				
training-size StdDev	0				
test-size	600				
test-size StdDev	0				
