recall	0,7788				
recall StdDev	0,0167138725				
macro-avg. recall	0,7537				
macro-avg. recall StdDev	0,0218652901				
macro-avg. Pos/Neg recall	0,716				
macro-avg. Pos/Neg recall StdDev	0,0319089614				
precision	0,7788				
precision StdDev	0,0167138725				
macro-avg. precision	0,7546				
macro-avg. precision StdDev	0,0190914863				
macro-avg. Pos/Neg precision	0,7189				
macro-avg. Pos/Neg precision StdDev	0,0271878984				
positiveRecall	0,7311841728				
positiveRecall StdDev	0,0430182898				
positivePrecision	0,7177927262				
positivePrecision StdDev	0,0438050552				
positive fmeasure	0,7232332087				
positive fmeasure StdDev	0,0318254122				
neutralRecall	0,8273466921				
neutralRecall StdDev	0,0180820316				
neutralPrecision	0,8263445236				
neutralPrecision StdDev	0,0239389254				
neutral fmeasure	0,8265427282				
neutral fmeasure StdDev	0,0139888862				
negativeRecall	0,7019850478				
negativeRecall StdDev	0,0421870684				
negativePrecision	0,7198408866				
negativePrecision StdDev	0,0403710744				
negative fmeasure	0,7098344021				
negative fmeasure StdDev	0,0318344604				
micro f-Measure	0,7788		0,7788	0,7535	0,7146
micro f-Measure StdDev	0,0167138725		0,0167138725	0,0194039983	0,0236310017
micro pos/neg f-Measure	0,717				
micro pos/neg f-Measure StdDev	0,0241836409				
macro f-Measure	0,7535				
macro f-Measure StdDev	0,0194039983				
macro pos/neg f-Measure	0,7146				
macro pos/neg f-Measure StdDev	0,0236310017				
other pos/neg f-Measure	0,7163				
other pos/neg f-Measure StdDev	0,0241483211				
accuracy	0,7790462316				
accuracy StdDev	0,0163154862				
average accuracy	0,8531				
average accuracy StdDev	0,0110732182				
error rate	0,5987				
error rate StdDev	0,0089504811				
cpu-time (for complete test-set)	40,08710778				
cpu-time (for complete test-set) StdDev	5,2099005615				
training-size	2442				
training-size StdDev	0				
test-size	600				
test-size StdDev	0				
