recall	0,7897				
recall StdDev	0,0162961853				
macro-avg. recall	0,7657				
macro-avg. recall StdDev	0,0190827544				
macro-avg. Pos/Neg recall	0,7308				
macro-avg. Pos/Neg recall StdDev	0,0273281592				
precision	0,7897				
precision StdDev	0,0162961853				
macro-avg. precision	0,766				
macro-avg. precision StdDev	0,0196432835				
macro-avg. Pos/Neg precision	0,7317				
macro-avg. Pos/Neg precision StdDev	0,0288519383				
positiveRecall	0,7420564278				
positiveRecall StdDev	0,0368750125				
positivePrecision	0,7287061285				
positivePrecision StdDev	0,0348799933				
positive fmeasure	0,7345940864				
positive fmeasure StdDev	0,02748746				
neutralRecall	0,8352173735				
neutralRecall StdDev	0,0210940985				
neutralPrecision	0,8352883486				
neutralPrecision StdDev	0,0205321485				
neutral fmeasure	0,8349926533				
neutral fmeasure StdDev	0,0146132979				
negativeRecall	0,7193475334				
negativeRecall StdDev	0,0391717549				
negativePrecision	0,7337726353				
negativePrecision StdDev	0,0438576667				
negative fmeasure	0,7253489577				
negative fmeasure StdDev	0,0296492177				
micro f-Measure	0,7897		0,7897	0,7646	0,729
micro f-Measure StdDev	0,0162961853		0,0162961853	0,0183358125	0,0224957909
micro pos/neg f-Measure	0,7302				
micro pos/neg f-Measure StdDev	0,0218340851				
macro f-Measure	0,7646				
macro f-Measure StdDev	0,0183358125				
macro pos/neg f-Measure	0,729				
macro pos/neg f-Measure StdDev	0,0224957909				
other pos/neg f-Measure	0,73				
other pos/neg f-Measure StdDev	0,0216957846				
accuracy	0,7897973066				
accuracy StdDev	0,0159497212				
average accuracy	0,8601				
average accuracy StdDev	0,0111459555				
error rate	0,6014				
error rate StdDev	0,0075236999				
cpu-time (for complete test-set)	36,99561155				
cpu-time (for complete test-set) StdDev	5,086281426				
training-size	2442				
training-size StdDev	0				
test-size	600				
test-size StdDev	0				
