REPTree			
-M 2 -V 1.0E-4 -N 5 -S 1 -L -1 -I 0.0 	1566		
Overall Recall: 	0,6762		
StdDev Overall Recall: 	0,0274		
Macro Overall Recall: 	0,6762		
StdDev Macro Overall Recall: 	0,0274		
Macro Pos/Neg Recall: 	0,6861		
StdDev Macro Pos/Neg Recall: 	0,0403		
Overall Precision: 	0,6762		
StdDev Overall Precision: 	0,0274		
Macro Overall Precision: 	0,6845		
StdDev Macro Overall Precision: 	0,0274		
Macro Pos/Neg Precision: 	0,7163		
StdDev Macro Pos/Neg Precision: 	0,0334		
Negative Recall: 	0,6576		
StdDev Negative Recall: 	0,0622		
Negative Precision: 	0,7119		
StdDev Negative Precision: 	0,0559		
Negative F-Measure: 	0,6801		
StdDev Negative F-Measure: 	0,0342		
Neutral Recalls: 	0,6601		
StdDev Neutral Recalls: 	0,0629		
Neutral Precision: 	0,6183		
StdDev Neutral Precision: 	0,0462		
Neutral F-Measure: 	0,636		
StdDev Neutral F-Measure: 	0,0375		
Positive Recall: 	0,7118		
StdDev Positive Recall: 	0,0678		
Positive Precision: 	0,7215		
StdDev Positive Precision: 	0,0524		
Positive F-Measure: 	0,7134		
StdDev Positive F-Measure: 	0,0373		
Micro F-Measure: 	0,6762		
StdDev Micro F-Measure: 	0,0274		
Macro F-Measure: 	0,6764		
StdDev Macro F-Measure: 	0,0274		
Micro PosNeg F-Measure: 	0,6971		
StdDev Micro PosNeg F-Measure: 	0,0282		
Macro PosNeg F-Measure: 	0,698		
StdDev Macro PosNeg F-Measure: 	0,0283		
OTHER PosNeg F-Measure: 	0,697		
StdDev OTHER PosNeg F-Measure: 	0,0284		
Average Accuracy: 	0,7843		
StdDev Average Accuracy: 	0,0192		
Negative Average Accuracy: 	0,7943		
StdDev Negative Average Accuracy: 	0,0233		
Neutral Average Accuracy: 	0,7487		
StdDev Neutral Average Accuracy: 	0,0278		
Positive Average Accuracy: 	0,81		
StdDev Positive Average Accuracy: 	0,0248		
Error Rate: 	0,5886		
StdDev Error Rate: 	0,014		
Negative Error Rate: 	0,2057		
StdDev Negative Error Rate: 	0,0233		
Neutral Error Rate: 	0,7487		
StdDev Neutral Error Rate: 	0,0278		
Positive Error Rate: 	0,81		
StdDev Positive Error Rate: 	0,0248		

SimpleCart			SimpleCart			
-M 4.0 -N 15 -C 1.0 -S 1 	1566		-M 3.0 -N 15 -A -C 1.0 -S 1 	1566		
Overall Recall: 	0,6826		Overall Recall: 	0,6775		
StdDev Overall Recall: 	0,0273		StdDev Overall Recall: 	0,0266		
Macro Overall Recall: 	0,6826		Macro Overall Recall: 	0,6775		
StdDev Macro Overall Recall: 	0,0273		StdDev Macro Overall Recall: 	0,0266		
Macro Pos/Neg Recall: 	0,6885		Macro Pos/Neg Recall: 	0,6811		
StdDev Macro Pos/Neg Recall: 	0,0349		StdDev Macro Pos/Neg Recall: 	0,0349		
Overall Precision: 	0,6826		Overall Precision: 	0,6775		
StdDev Overall Precision: 	0,0273		StdDev Overall Precision: 	0,0266		
Macro Overall Precision: 	0,6911		Macro Overall Precision: 	0,6848		
StdDev Macro Overall Precision: 	0,0286		StdDev Macro Overall Precision: 	0,0283		
Macro Pos/Neg Precision: 	0,7241		Macro Pos/Neg Precision: 	0,7167		
StdDev Macro Pos/Neg Precision: 	0,0361		StdDev Macro Pos/Neg Precision: 	0,0386		
Negative Recall: 	0,6614		Negative Recall: 	0,6561		
StdDev Negative Recall: 	0,061		StdDev Negative Recall: 	0,0599		
Negative Precision: 	0,716		Negative Precision: 	0,7082		
StdDev Negative Precision: 	0,0629		StdDev Negative Precision: 	0,0637		
Negative F-Measure: 	0,6839		Negative F-Measure: 	0,6775		
StdDev Negative F-Measure: 	0,0354		StdDev Negative F-Measure: 	0,0372		
Neutral Recalls: 	0,6749		Neutral Recalls: 	0,6742		
StdDev Neutral Recalls: 	0,0608		StdDev Neutral Recalls: 	0,0579		
Neutral Precision: 	0,6238		Neutral Precision: 	0,6217		
StdDev Neutral Precision: 	0,0444		StdDev Neutral Precision: 	0,0382		
Neutral F-Measure: 	0,6463		Neutral F-Measure: 	0,6451		
StdDev Neutral F-Measure: 	0,037		StdDev Neutral F-Measure: 	0,0326		
Positive Recall: 	0,7121		Positive Recall: 	0,7026		
StdDev Positive Recall: 	0,0563		StdDev Positive Recall: 	0,0598		
Positive Precision: 	0,7321		Positive Precision: 	0,7254		
StdDev Positive Precision: 	0,0539		StdDev Positive Precision: 	0,0534		
Positive F-Measure: 	0,7194		Positive F-Measure: 	0,7112		
