LMT			LMT			LMT			LMT			
-C -I -1 -M 15 -W 0.0 	1566		-C -I -1 -M 15 -W 0.0 -A 	1566		-I 20 -M 15 -W 0.0 	1566		-I 20 -M 15 -W 0.0 -A 	1566		
Overall Recall: 	0,7265		Overall Recall: 	0,723		Overall Recall: 	0,7275		Overall Recall: 	0,7275		
StdDev Overall Recall: 	0,0307		StdDev Overall Recall: 	0,0227		StdDev Overall Recall: 	0,0318		StdDev Overall Recall: 	0,0318		
Macro Overall Recall: 	0,7265		Macro Overall Recall: 	0,723		Macro Overall Recall: 	0,7275		Macro Overall Recall: 	0,7275		
StdDev Macro Overall Recall: 	0,0307		StdDev Macro Overall Recall: 	0,0227		StdDev Macro Overall Recall: 	0,0318		StdDev Macro Overall Recall: 	0,0318		
Macro Pos/Neg Recall: 	0,7305		Macro Pos/Neg Recall: 	0,702		Macro Pos/Neg Recall: 	0,7355		Macro Pos/Neg Recall: 	0,7355		
StdDev Macro Pos/Neg Recall: 	0,0379		StdDev Macro Pos/Neg Recall: 	0,0368		StdDev Macro Pos/Neg Recall: 	0,0474		StdDev Macro Pos/Neg Recall: 	0,0474		
Overall Precision: 	0,7265		Overall Precision: 	0,723		Overall Precision: 	0,7275		Overall Precision: 	0,7275		
StdDev Overall Precision: 	0,0307		StdDev Overall Precision: 	0,0227		StdDev Overall Precision: 	0,0318		StdDev Overall Precision: 	0,0318		
Macro Overall Precision: 	0,733		Macro Overall Precision: 	0,735		Macro Overall Precision: 	0,736		Macro Overall Precision: 	0,736		
StdDev Macro Overall Precision: 	0,0306		StdDev Macro Overall Precision: 	0,0199		StdDev Macro Overall Precision: 	0,0291		StdDev Macro Overall Precision: 	0,0291		
Macro Pos/Neg Precision: 	0,7705		Macro Pos/Neg Precision: 	0,787		Macro Pos/Neg Precision: 	0,773		Macro Pos/Neg Precision: 	0,773		
StdDev Macro Pos/Neg Precision: 	0,0368		StdDev Macro Pos/Neg Precision: 	0,0215		StdDev Macro Pos/Neg Precision: 	0,0275		StdDev Macro Pos/Neg Precision: 	0,0275		
Negative Recall: 	0,7085		Negative Recall: 	0,693		Negative Recall: 	0,7275		Negative Recall: 	0,7275		
StdDev Negative Recall: 	0,042		StdDev Negative Recall: 	0,045		StdDev Negative Recall: 	0,0569		StdDev Negative Recall: 	0,0569		
Negative Precision: 	0,7703		Negative Precision: 	0,7827		Negative Precision: 	0,7523		Negative Precision: 	0,7523		
StdDev Negative Precision: 	0,0544		StdDev Negative Precision: 	0,0337		StdDev Negative Precision: 	0,0428		StdDev Negative Precision: 	0,0428		
Negative F-Measure: 	0,7369		Negative F-Measure: 	0,7343		Negative F-Measure: 	0,7377		Negative F-Measure: 	0,7377		
StdDev Negative F-Measure: 	0,0365		StdDev Negative F-Measure: 	0,0316		StdDev Negative F-Measure: 	0,0314		StdDev Negative F-Measure: 	0,0314		
Neutral Recalls: 	0,721		Neutral Recalls: 	0,7655		Neutral Recalls: 	0,7135		Neutral Recalls: 	0,7135		
StdDev Neutral Recalls: 	0,0609		StdDev Neutral Recalls: 	0,0341		StdDev Neutral Recalls: 	0,0573		StdDev Neutral Recalls: 	0,0573		
Neutral Precision: 	0,6586		Neutral Precision: 	0,6318		Neutral Precision: 	0,6588		Neutral Precision: 	0,6588		
StdDev Neutral Precision: 	0,0487		StdDev Neutral Precision: 	0,0355		StdDev Neutral Precision: 	0,0523		StdDev Neutral Precision: 	0,0523		
Neutral F-Measure: 	0,6866		Neutral F-Measure: 	0,6914		Neutral F-Measure: 	0,6827		Neutral F-Measure: 	0,6827		
StdDev Neutral F-Measure: 	0,0413		StdDev Neutral F-Measure: 	0,0252		StdDev Neutral F-Measure: 	0,0367		StdDev Neutral F-Measure: 	0,0367		
Positive Recall: 	0,7495		Positive Recall: 	0,71		Positive Recall: 	0,744		Positive Recall: 	0,744		
StdDev Positive Recall: 	0,0529		StdDev Positive Recall: 	0,0442		StdDev Positive Recall: 	0,0537		StdDev Positive Recall: 	0,0537		
Positive Precision: 	0,7696		Positive Precision: 	0,792		Positive Precision: 	0,7949		Positive Precision: 	0,7949		
StdDev Positive Precision: 	0,0462		StdDev Positive Precision: 	0,0395		StdDev Positive Precision: 	0,0487		StdDev Positive Precision: 	0,0487		
