RUN: 1
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,49	0,51	0,5666666666666667	0,5566666666666666	0,5766666666666667	0,57	0,59	0,5933333333333334	0,59	0,5933333333333334	
macro-avg. precision	0,49	0,5100000000000001	0,5666666666666667	0,5566666666666666	0,5766666666666667	0,57	0,59	0,5933333333333334	0,59	0,5933333333333333	
macro-avg. Pos/Neg precision	0,265	0,30000000000000004	0,385	0,38	0,405	0,4	0,42500000000000004	0,43500000000000005	0,43000000000000005	0,485	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,32	0,33	0,47	0,48	0,51	0,5	0,54	0,55	0,54	0,59	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,94	0,93	0,93	0,91	0,92	0,91	0,92	0,91	0,91	0,81	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,21	0,27	0,3	0,28	0,3	0,3	0,31	0,32	0,32	0,38	
f-Measure	0,6577181208053691	0,6754966887417219	0,7234042553191489	0,715203426124197	0,7315010570824524	0,7261146496815287	0,7421383647798743	0,7447698744769875	0,7421383647798743	0,7447698744769875	
cpu-time (for complete test-set)	116,362422	111,718412	116,609438	114,363916	113,708966	113,811939	116,540512	117,624657	118,13649	117,267314	
training-size	200,0	400,0	600,0	800,0	1000,0	1200,0	1400,0	1600,0	1800,0	2059,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 2
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,4	0,43666666666666665	0,4766666666666667	0,4866666666666667	0,52	0,51	0,5266666666666666	0,5333333333333333	0,5433333333333333	0,55	
macro-avg. precision	0,39999999999999997	0,4366666666666667	0,47666666666666674	0,48666666666666664	0,52	0,5099999999999999	0,5266666666666667	0,5333333333333333	0,5433333333333333	0,5499999999999999	
macro-avg. Pos/Neg precision	0,155	0,20500000000000002	0,27	0,28	0,32999999999999996	0,32499999999999996	0,345	0,36	0,375	0,39	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,15	0,23	0,32	0,31	0,37	0,35	0,37	0,4	0,41	0,42	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,89	0,9	0,89	0,9	0,9	0,88	0,89	0,88	0,88	0,87	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,16	0,18	0,22	0,25	0,29	0,3	0,32	0,32	0,34	0,36	
f-Measure	0,5714285714285715	0,6078886310904873	0,6455981941309256	0,6547085201793722	0,6842105263157895	0,6754966887417219	0,6899563318777292	0,6956521739130436	0,7041036717062634	0,7096774193548387	
cpu-time (for complete test-set)	128,488681	128,695354	127,670444	126,492359	126,79173	129,214796	130,400328	127,456246	128,462557	127,343385	
training-size	200,0	400,0	600,0	800,0	1000,0	1200,0	1400,0	1600,0	1800,0	2059,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 3
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,4666666666666667	0,4866666666666667	0,53	0,57	0,58	0,58	0,6	0,6	0,6	0,6166666666666667	
macro-avg. precision	0,46666666666666673	0,48666666666666664	0,5299999999999999	0,57	0,58	0,58	0,6	0,6	0,6	0,6166666666666667	
macro-avg. Pos/Neg precision	0,22000000000000003	0,255	0,315	0,375	0,395	0,39	0,425	0,455	0,45499999999999996	0,475	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,34	0,28	0,38	0,45	0,48	0,47	0,49	0,51	0,5	0,49	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,96	0,95	0,96	0,96	0,95	0,96	0,95	0,89	0,89	0,9	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,1	0,23	0,25	0,3	0,31	0,31	0,36	0,4	0,41	0,46	
f-Measure	0,6363636363636364	0,6547085201793722	0,6928104575163399	0,7261146496815287	0,7341772151898733	0,7341772151898733	0,7499999999999999	0,7499999999999999	0,7499999999999999	0,7628865979381444	
cpu-time (for complete test-set)	136,599572	138,475113	133,936998	135,951938	132,17935	136,634862	135,086147	134,229618	133,999328	137,766796	
training-size	200,0	400,0	600,0	800,0	1000,0	1200,0	1400,0	1600,0	1800,0	2059,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 4
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,47333333333333333	0,5133333333333333	0,5066666666666667	0,55	0,5533333333333333	0,56	0,5666666666666667	0,5733333333333334	0,58	0,6133333333333333	
macro-avg. precision	0,47333333333333333	0,5133333333333333	0,5066666666666667	0,55	0,5533333333333333	0,5599999999999999	0,5666666666666668	0,5733333333333334	0,58	0,6133333333333334	
macro-avg. Pos/Neg precision	0,265	0,3	0,305	0,39	0,375	0,39	0,395	0,4	0,405	0,46	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,29	0,37	0,38	0,56	0,52	0,51	0,54	0,47	0,49	0,53	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,89	0,94	0,91	0,87	0,91	0,9	0,91	0,92	0,93	0,92	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
