RUN: 1
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,3466666666666667	0,3466666666666667	0,35333333333333333	0,35333333333333333	0,35	0,35	0,35	0,35333333333333333	0,35333333333333333	0,35333333333333333	0,37	0,37333333333333335	0,37333333333333335	
macro-avg. precision	0,3466666666666667	0,3466666666666667	0,35333333333333333	0,35333333333333333	0,35000000000000003	0,35000000000000003	0,35000000000000003	0,35333333333333333	0,35333333333333333	0,35333333333333333	0,36999999999999994	0,37333333333333335	0,37333333333333335	
macro-avg. Pos/Neg precision	0,03	0,030000000000000002	0,04	0,04	0,035	0,035	0,045	0,04	0,04	0,04	0,06999999999999999	0,06999999999999999	0,06999999999999999	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,04	0,05	0,05	0,05	0,05	0,05	0,06	0,06	0,06	0,06	0,12	0,12	0,12	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,98	0,98	0,98	0,98	0,98	0,98	0,96	0,98	0,98	0,98	0,97	0,98	0,98	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,02	0,01	0,03	0,03	0,02	0,02	0,03	0,02	0,02	0,02	0,02	0,02	0,02	
f-Measure	0,5148514851485149	0,5148514851485149	0,5221674876847291	0,5221674876847291	0,5185185185185185	0,5185185185185185	0,5185185185185185	0,5221674876847291	0,5221674876847291	0,5221674876847291	0,5401459854014599	0,5436893203883496	0,5436893203883496	
cpu-time (for complete test-set)	121,233523	119,461226	120,508132	118,8153	119,792511	119,904894	119,503834	123,426241	122,240086	125,048234	120,407508	126,204293	120,327183	
training-size	100,0	150,0	200,0	250,0	300,0	350,0	400,0	450,0	500,0	550,0	600,0	650,0	709,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 2
recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
macro-avg. Pos/Neg recall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
precision	0,34	0,3433333333333333	0,35	0,37333333333333335	0,37	0,37	0,37	0,37333333333333335	0,37666666666666665	0,37666666666666665	0,37333333333333335	0,37666666666666665	0,38	
macro-avg. precision	0,34	0,3433333333333333	0,35000000000000003	0,37333333333333335	0,36999999999999994	0,36999999999999994	0,36999999999999994	0,37333333333333335	0,37666666666666665	0,37666666666666665	0,37333333333333335	0,37666666666666665	0,38000000000000006	
macro-avg. Pos/Neg precision	0,025	0,04	0,045	0,08	0,075	0,065	0,065	0,07500000000000001	0,09000000000000001	0,09000000000000001	0,09000000000000001	0,09000000000000001	0,09000000000000001	
positiveRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
positivePrecision	0,01	0,05	0,05	0,12	0,12	0,12	0,12	0,14	0,14	0,14	0,14	0,14	0,14	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	0,97	0,95	0,96	0,96	0,96	0,98	0,98	0,97	0,95	0,95	0,94	0,95	0,96	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,04	0,03	0,04	0,04	0,03	0,01	0,01	0,01	0,04	0,04	0,04	0,04	0,04	
f-Measure	0,5074626865671642	0,511166253101737	0,5185185185185185	0,5436893203883496	0,5401459854014599	0,5401459854014599	0,5401459854014599	0,5436893203883496	0,5472154963680387	0,5472154963680387	0,5436893203883496	0,5472154963680387	0,5507246376811594	
cpu-time (for complete test-set)	133,273399	128,26113	127,217425	125,729429	123,643972	129,89196	129,839083	123,527297	133,537699	126,456087	128,39905	126,339352	126,288729	
training-size	100,0	150,0	200,0	250,0	300,0	350,0	400,0	450,0	500,0	550,0	600,0	650,0	709,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 3
recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. Pos/Neg recall	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	
precision	0,34782608695652173	0,3511705685618729	0,35785953177257523	0,36454849498327757	0,36454849498327757	0,36789297658862874	0,36789297658862874	0,36789297658862874	0,36789297658862874	0,3712374581939799	0,36454849498327757	0,3712374581939799	0,3712374581939799	
macro-avg. precision	0,3467676767676768	0,35013468013468013	0,3569023569023569	0,3636363636363636	0,3636363636363636	0,367003367003367	0,367003367003367	0,367003367003367	0,367003367003367	0,37033670033670035	0,36367003367003364	0,3703703703703704	0,3703703703703704	
macro-avg. Pos/Neg precision	0,020151515151515153	0,025202020202020205	0,04035353535353535	0,05045454545454545	0,05045454545454545	0,0555050505050505	0,0555050505050505	0,0555050505050505	0,0555050505050505	0,060505050505050506	0,060505050505050506	0,06555555555555555	0,06555555555555555	
positiveRecall	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	
positivePrecision	0,030303030303030304	0,04040404040404041	0,0707070707070707	0,09090909090909091	0,09090909090909091	0,10101010101010101	0,10101010101010101	0,10101010101010101	0,10101010101010101	0,10101010101010101	0,10101010101010101	0,1111111111111111	0,1111111111111111	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	1,0	1,0	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,97	0,98	0,98	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,02	0,02	0,02	0,02	
f-Measure	0,5156839495526571	0,5193505430062613	0,5266294104575272	0,5338367417138271	0,5338367417138271	0,537413910017075	0,537413910017075	0,537413910017075	0,537413910017075	0,5409735861973416	0,5338367417138271	0,5409735861973416	0,5409735861973416	
cpu-time (for complete test-set)	148,39345	149,532501	153,553656	149,464736	148,383109	153,178321	147,144707	151,388585	147,471503	151,101093	145,285178	149,634767	144,325447	
training-size	100,0	150,0	200,0	250,0	300,0	350,0	400,0	450,0	500,0	550,0	600,0	650,0	709,0	
test-size	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	300,0	

RUN: 4
recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. recall	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	0,9966666666666667	
macro-avg. Pos/Neg recall	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	0,995	
precision	0,35451505016722407	0,36789297658862874	0,36789297658862874	0,38127090301003347	0,38461538461538464	0,3879598662207358	0,38461538461538464	0,38461538461538464	0,38461538461538464	0,38461538461538464	0,3879598662207358	0,38461538461538464	0,38461538461538464	
macro-avg. precision	0,35343434343434343	0,36686868686868684	0,3669023569023569	0,3803030303030303	0,38367003367003366	0,38703703703703707	0,3837037037037037	0,3837037037037037	0,3837037037037037	0,3837037037037037	0,38703703703703707	0,3837037037037037	0,3837037037037037	
macro-avg. Pos/Neg precision	0,03015151515151515	0,05030303030303031	0,05035353535353535	0,07045454545454546	0,0755050505050505	0,08055555555555555	0,07555555555555556	0,07555555555555556	0,07555555555555556	0,07555555555555556	0,08555555555555555	0,08555555555555555	0,08555555555555555	
positiveRecall	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	0,99	
positivePrecision	0,030303030303030304	0,06060606060606061	0,0707070707070707	0,09090909090909091	0,10101010101010101	0,1111111111111111	0,1111111111111111	0,1111111111111111	0,1111111111111111	0,1111111111111111	0,1111111111111111	0,1111111111111111	0,1111111111111111	
neutralRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
neutralPrecision	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	0,99	0,98	0,98	
negativeRecall	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	
negativePrecision	0,03	0,04	0,03	0,05	0,05	0,05	0,04	0,04	0,04	0,04	0,06	0,06	0,06	
f-Measure	0,5229989851568881	0,537413910017075	0,537413910017075	0,5515489356882226	0,5550399108966029	0,5585140216262349	0,5550399108966029	0,5550399108966029	0,5550399108966029	0,5550399108966029	0,5585140216262349	0,5550399108966029	0,5550399108966029	
cpu-time (for complete test-set)	140,605505	137,599038	135,302076	138,192518	135,668842	137,653953	135,332979	138,394764	136,382208	138,503961	140,385361	134,910761	137,890653	
training-size	100,0	150,0	200,0	250,0	300,0	350,0	400,0	450,0	500,0	550,0	600,0	650,0	709,0	
