NaiveBayesMultinomial			
	1566		
Overall Recall: 	0,7233		
StdDev Overall Recall: 	0		
Macro Overall Recall: 	0,7233		
StdDev Macro Overall Recall: 	0		
Macro Pos/Neg Recall: 	0,725		
StdDev Macro Pos/Neg Recall: 	0		
Overall Precision: 	0,7233		
StdDev Overall Precision: 	0		
Macro Overall Precision: 	0,7254		
StdDev Macro Overall Precision: 	0		
Macro Pos/Neg Precision: 	0,7485		
StdDev Macro Pos/Neg Precision: 	0		
Negative Recall: 	0,73		
StdDev Negative Recall: 	0		
Negative Precision: 	0,7228		
StdDev Negative Precision: 	0		
Negative F-Measure: 	0,7264		
StdDev Negative F-Measure: 	0		
Neutral Recalls: 	0,72		
StdDev Neutral Recalls: 	0		
Neutral Precision: 	0,6792		
StdDev Neutral Precision: 	0		
Neutral F-Measure: 	0,699		
StdDev Neutral F-Measure: 	0		
Positive Recall: 	0,72		
StdDev Positive Recall: 	0		
Positive Precision: 	0,7742		
StdDev Positive Precision: 	0		
Positive F-Measure: 	0,7461		
StdDev Positive F-Measure: 	0		
Micro F-Measure: 	0,7233		
StdDev Micro F-Measure: 	0,7233		
Macro F-Measure: 	0,7238		
StdDev Macro F-Measure: 	0,7238		

