622	NEGATIVE	*** u retard Slacks
506	POSITIVE	Sheever Kreygasm Slacks CoolCat
79	NEGATIVE	Artstyle best support... for enemy team Kappa
659	POSITIVE	7KINGHOT Kreygasm
593	NEUTRAL	is he trans?
602	NEUTRAL	Both wrong
501	POSITIVE	hahahahahaah
497	NEUTRAL	CHAT ARE YOU READY?ADRENALINE PUMPING GENERATOR
308	POSITIVE	sheever has big tits also lol
430	NEUTRAL	next level captaining
151	POSITIVE	lmao
670	POSITIVE	ERA INVOKER Kreygasm
64	POSITIVE	synderen EleGiggle
477	NEUTRAL	i bet navi will ban void and enigma or Diggity take void on the first pick
466	POSITIVE	SHEEVER Kreygasm
635	NEUTRAL	HARRY IS ALIVE ??? PogChamp
219	NEUTRAL	Expeliarmus
661	NEUTRAL	@DreamLeague, can you ask Mad to pick hos nose?
329	NEUTRAL	7ckmad
460	NEGATIVE	FailFish
25	NEUTRAL	what is going on? anyone else getting slow mo with spinning circle?
434	NEUTRAL	shlushusuus what?
134	POSITIVE	DAMN HE SEXY
657	NEUTRAL	GREEN SKILL OP
549	POSITIVE	<3
174	NEUTRAL	and its not even Navi's final form
190	POSITIVE	GUYRO SoBayed
404	NEUTRAL	how much games will be 2 or 5?
313	NEUTRAL	OD CHILLIN
205	NEUTRAL	sheever has big feet
132	NEGATIVE	7fckngSAD
100	NEUTRAL	HARRY POTTER? PogChamp
534	NEUTRAL	Is vape nation still going on?
212	NEUTRAL	how did he get a day off from hogwarts?
516	NEGATIVE	focus on dirty sneakers DansGame
610	POSITIVE	The artstyle block , the opposite of puppey block xD
328	NEGATIVE	WINDRUNNER WutFace
699	NEUTRAL	honestly guys, who is that guy? Kappa
279	NEUTRAL	Sheever
77	NEGATIVE	2V1 RAPE THE GIRL
9	NEGATIVE	fuking get back to the kitchen
547	POSITIVE	7ckinHot KappaPride
239	NEUTRAL	7....
641	POSITIVE	THAT HIGH PITCH VOICE EleGiggle
269	POSITIVE	Milf OSfrog
579	NEUTRAL	HARRY POTTER HAS 1 LEG
420	POSITIVE	SHEEVER U SO HOT
138	POSITIVE	YOU ARE A MIRACLE, HARRY 4Head
611	NEUTRAL	Why are those chairs so low!?
479	NEUTRAL	KappaRoss my tree
155	NEUTRAL	he n she
41	NEGATIVE	LOOK AT SLACKS STUPID FACE DansGame
487	NEUTRAL	HARRY POTTER NotATK
356	NEGATIVE	Will Sheever ever shut the *** up?
297	NEUTRAL	harry Putter Kappa
240	POSITIVE	7Mad Dreamhack winner ;-)
502	NEGATIVE	GUY RO FailFish
11	NEUTRAL	soo guy-ro
180	NEGATIVE	WutFace CORGI WHAT ARE YOU DOIN WutFace
345	NEUTRAL	da big stuns
5	NEGATIVE	MEMELEAGUE WutFace
316	NEGATIVE	< FailFish
575	NEUTRAL	@DreamLeague, can you ask Slacks to raise his left eyebrow? DendiFace
143	POSITIVE	2 girls Kreygasm
413	NEUTRAL	HE LEFT KP??
377	NEUTRAL	NAVI
550	NEUTRAL	1 LEG MAN
408	POSITIVE	sSYND 4Head
470	POSITIVE	SoBayed SoBayed
242	NEUTRAL	Harry Potter
281	POSITIVE	she already stolen EleGiggle
45	POSITIVE	7king sexy
677	NEUTRAL	HARRYS BACK BOYS
211	NEUTRAL	what's the red button?!
286	POSITIVE	SLACKS Kreygasm
250	POSITIVE	Best block Kreygasm
369	NEUTRAL	Guyro
54	NEUTRAL	Bo1 only?
494	NEGATIVE	slack's beard WutFace
116	NEUTRAL	Find more information about DreamLeague Season 5 at http://dreamleague.dreamhack.com
