"doc.msg: Descending",Count
the,"2,089,597"
i,"1,899,797"
a,"1,788,183"
to,"1,598,182"
you,"1,545,593"
is,"1,346,063"
and,"1,013,257"
kappa,"951,870"
in,"887,916"
it,"846,201"
for,"754,246"
on,"681,288"
that,"668,972"
me,"620,266"
of,"617,096"
lol,"615,675"
my,"546,498"
3,"540,583"
no,"526,442"
this,"518,560"
d,"507,869"
do,"476,530"
so,"475,202"
have,"472,827"
has,"450,798"
was,"443,440"
are,"442,627"
what,"427,781"
de,"421,770"
like,"420,230"
your,"419,265"
with,"412,012"
can,"408,088"
just,"399,750"
https,"380,723"
1,"372,692"
u,"371,401"
lul,"367,413"
not,"361,785"
get,"356,529"
be,"354,212"
stream,"353,607"
xd,"352,960"
but,"318,075"
he,"314,855"
if,"310,340"
2,"300,914"
now,"289,993"
at,"287,245"
go,"286,572"
pogchamp,"282,944"
good,"282,469"
o,"282,159"
la,"279,335"
up,"275,006"
all,"272,868"
how,"267,457"
que,"263,154"
or,"262,781"
im,"257,780"
game,"250,093"
"i'm","248,245"
le,"240,032"
out,"234,723"
by,"233,076"
play,"226,930"
one,"222,486"
been,"220,140"
got,"213,481"
its,"212,757"
we,"209,736"
hey,"202,929"
when,"202,608"
du,"199,475"
"в","198,962"
"не","197,755"
here,"196,301"
en,"194,741"
"it's","194,644"
je,"193,286"
they,"189,806"
http,"189,539"
time,"189,498"
will,"188,053"
oh,"187,819"
song,"185,319"
see,"184,575"
from,"183,353"
tu,"178,718"
v,"177,064"
did,"171,843"
there,"169,140"
"don't","169,109"
5,"167,800"
ich,"167,272"
man,"167,204"
as,"164,995"
know,"164,402"
hi,"163,884"
"на","163,552"
why,"162,647"
un,"162,384"
watch,"160,965"
more,"160,788"
about,"158,173"
an,"156,221"
chat,"155,249"
"я","154,832"
pas,"153,758"
p,"152,415"
"и","152,315"
10,"151,663"
back,"151,215"
only,"149,665"
think,"146,072"
yeah,"144,851"
4,"144,059"
na,"143,759"
too,"143,174"
some,"141,999"
e,"139,415"
love,"139,191"
want,"138,825"
ok,"137,957"
dont,"136,650"
biblethump,"134,663"
kreygasm,"134,233"
"а","133,463"
need,"129,593"
"的","128,467"
die,"127,974"
y,"127,898"
would,"127,580"
4head,"126,844"
es,"126,783"
new,"126,639"
follow,"126,349"
rip,"125,667"
se,"125,656"
yo,"125,368"
"www.youtube.com","124,337"
points,"121,800"
them,"120,121"
added,"119,063"
pokemon,"118,871"
yes,"118,636"
el,"118,472"
his,"117,918"
gg,"117,894"
wutface,"117,491"
gamble,"117,372"
going,"117,212"
am,"117,078"
him,"116,594"
si,"115,848"
make,"115,810"
et,"115,601"
then,"115,350"
nice,"115,187"
right,"113,297"
people,"112,847"
les,"111,093"
still,"110,817"
who,"110,310"
das,"109,643"
well,"109,487"
"我","108,923"
keepo,"108,631"
dansgame,"107,523"
"了","107,102"
il,"106,993"
ja,"106,813"
ist,"105,369"
guys,"104,976"
"是","104,322"
da,"103,745"
und,"103,258"
te,"102,469"
"c'est","102,128"
ya,"101,195"
"不","100,874"
team,"100,733"
much,"100,604"
feelsbadman,"99,015"
really,"97,820"
playing,"97,799"
100,"96,956"
lmao,"96,186"
live,"95,992"
use,"95,657"
queue,"94,606"
should,"93,612"
"что","93,419"
c,"93,401"
kappapride,"93,187"
best,"92,240"
"с","92,044"
"ты","91,993"
hello,"90,963"
gonna,"90,678"
wtf,"90,211"
check,"89,081"
off,"88,925"
better,"88,800"
had,"88,571"
even,"88,449"
she,"88,121"
pour,"87,093"
twitch,"85,532"
does,"85,277"
der,"84,860"
"у","84,552"
thanks,"83,518"
never,"83,492"
everyone,"83,472"
6,"83,337"
her,"83,296"
hours,"83,213"
say,"83,195"
please,"82,772"
bad,"82,666"
because,"82,163"
channel,"81,997"
wow,"81,707"
sur,"81,682"
where,"81,639"
0,"81,551"
sr,"80,972"
"that's","80,606"
again,"80,510"
bet,"79,565"
youtube,"78,755"
name,"78,177"
s,"77,744"
join,"77,179"
20,"77,166"
"you're","76,995"
haha,"76,867"
7,"76,848"
shit,"76,495"
next,"76,248"
also,"75,956"
"有","75,700"
ur,"75,573"
sub,"75,257"
rolled,"75,155"
every,"75,129"
"你","75,069"
"как","74,599"
est,"74,389"
nicht,"74,319"
first,"73,244"
