574	POSITIVE	LOOOOOOOOOOOOOOOOOOOOL
278	NEUTRAL	Dicked their own grave?
103	NEUTRAL	That watch is way too bigg.
303	NEUTRAL	SHEEVER PREVIOUS BOOTS WERE BETTER
33	NEUTRAL	Miracle???
697	POSITIVE	HAHAHAHAHAHA
391	NEUTRAL	Why IS SLACK even in the PANEL? WHAT IS THE ADDED VALUE AT ALL?
660	NEGATIVE	FAKE DansGame danSgame
131	NEUTRAL	fcking mad
541	POSITIVE	10 games wins streak u know :D
587	POSITIVE	LMAO
177	NEUTRAL	who is this fake HERRY Kappa
252	NEUTRAL	4 gank him = DEAD
332	POSITIVE	synderen lol
200	NEGATIVE	gayro
119	NEGATIVE	7KNGBAD
421	POSITIVE	sheever so hot :D
99	NEGATIVE	nose picker WutFace
590	NEGATIVE	Gayro Kreygasm KappaPride
361	NEUTRAL	who is this
338	POSITIVE	Sheever Kreygasm i just fap
415	NEUTRAL	who is this stud in the middle
12	NEUTRAL	Usb connected Kappa
264	NEGATIVE	fired
204	NEGATIVE	trying to be funny FailFish
313	NEUTRAL	OD CHILLIN
295	POSITIVE	so smart
621	NEGATIVE	SLACKS NotLikeThis
220	NEUTRAL	Harry potta
668	NEGATIVE	oh stfu Sheever you giant lesbian
322	NEUTRAL	ur a harry wizard Kappa
84	NEUTRAL	GREEN SKILL OP NERF PLZ
110	NEGATIVE	DansGame Flapping to sheever?
644	NEUTRAL	Gairo
688	POSITIVE	HARRY PogChamp
69	NEGATIVE	I signed up twitch just to say this: I HATE THE *** MUG FACE OF SLACK
683	NEUTRAL	we need sir action STAT
635	NEUTRAL	HARRY IS ALIVE ??? PogChamp
500	NEUTRAL	no shoes confirmed
199	NEUTRAL	score please
13	POSITIVE	NICE ACCENT 7mad EleGiggle
595	POSITIVE	Feederen EleGiggle
442	NEUTRAL	whos is this guy,right to slacks ?
269	POSITIVE	Milf OSfrog
360	NEGATIVE	who the *** is that
472	NEGATIVE	COCKBLOCK
658	NEUTRAL	IS HE KICKED FROM KAIPI?
653	NEGATIVE	BULLDOG DansGame
289	NEUTRAL	Puppey block ? more like Artstyle block
208	NEGATIVE	GET SHEEVER BACK TO THE KITCHEN SwiftRage
3	POSITIVE	Magic Kappa
145	NEUTRAL	kermit the frog
51	POSITIVE	LUL xD SO FUNNY LUL
652	NEGATIVE	trap
440	NEUTRAL	Guys
459	NEUTRAL	winderuner this guy is 2k
695	NEUTRAL	ellie goulding?????????
455	NEUTRAL	GIYRO
232	NEUTRAL	G U Y R O
447	NEGATIVE	REVERSED PICK NotLikeThis
207	NEUTRAL	WHITE RED GREEN BLUE = NEW SKILLS
457	NEUTRAL	3 = nothing
